N_Clusters,Cluster,Center_Feature_1,Center_Feature_2
2,0,-7.757827339723768,-5.036394160663858
2,1,-1.5423402186616961,4.435175991173015
3,0,-7.112072609352307,-8.094588464018345
3,1,-1.5423402186616961,4.435175991173015
3,2,-8.0807047049095,-3.5072970089866136
4,0,-10.009690557009119,-3.84944006565236
4,1,-1.5423402186616961,4.435175991173015
4,2,-6.084590387709558,-3.1730598284685123
4,3,-7.093066479120729,-8.109944539869497
5,0,-7.632468531090225,-7.013719861399972
5,1,-1.5423402186616961,4.435175991173015
5,2,-6.073238025347133,-3.135355980084
5,3,-6.806994670661535,-8.647392246734135
5,4,-10.065297243980485,-3.7778834239402905
6,0,-7.442159605475215,-7.15212376146027
6,1,-1.5423402186616961,4.435175991173015
6,2,-6.0120156384907855,-3.1312551311160335
6,3,-6.8348945549079305,-8.78711834054678
6,4,-9.254544947954415,-3.330651337544433
6,5,-10.645568212717762,-4.208760901109827
