,age,sex_female,elixhauser_count,heart_rate,respiratory_rate,systolic_blood_pressure,temperature,oxygen_saturation,gcs,wbc,band_count,esr,crp,ast,alt,total_bilirubin,bun,creatinine,inr,pao2,platelets,troponin,glucose,sodium,hemoglobin,chloride,bicarbonate,lactate,albumin
age,1.0,0.056292119388072465,0.045930689376801566,-0.1648040365454552,0.07883834548331979,0.02753090424552833,-0.029214741823080204,-0.07567831432599961,-0.004691407278583813,-0.015117215836607353,0.008342391460427574,0.002901038263081399,0.0058357545831519315,-0.055095923652410825,-0.08372931524692055,0.007884308641680788,0.31600169768721964,0.17353808818175576,0.0783669327953369,-0.013295617715235863,-0.07186529354113859,-0.004855252461255093,0.027684215643303155,0.05556113267683211,-0.12505513689918232,0.012581394019198167,0.07424635504236742,0.012691562826787102,-0.06720316265741458
sex_female,0.056292119388072465,1.0,0.012874400494391211,0.04685367061459888,0.029421875493785266,0.0014376740993928233,-0.0007598980327406149,0.032261769022419735,0.0027109170699884696,0.007586157973446541,-0.00179187397151839,0.0011548544294449333,-0.006944140083752247,-0.04253490939142646,-0.05653995094042169,-0.1017003832940627,-0.07676756385464019,-0.17401727977768933,-0.014723290632365183,-0.00028421123927057604,0.11922754292697473,-0.017590599076966723,0.0022109362347846953,0.03425954141856167,-0.13888639909247769,0.018684684442199527,-0.018542772075868935,-0.018297849398462667,-0.03414893809600484
elixhauser_count,0.045930689376801566,0.012874400494391211,1.0,0.03011051959713024,0.020029584552588565,0.012227492061989666,-0.015598983824275998,-0.02038767760717681,0.037014168344539786,-0.04878728063609176,-0.0023259106898528207,0.004146531016296837,0.005057715607444509,0.007049074726317097,0.007087203938020987,0.04283206425146393,0.11252099258065681,0.11890807795668998,0.04534732061771602,-0.02834644139376934,-0.05190433392566131,-0.05910904933459599,0.026003725948327484,-0.06131725241342534,-0.04519742671865209,-0.08356047369118433,0.04732991348081611,-0.0019048373596763234,0.009713357214733471
heart_rate,-0.1648040365454552,0.04685367061459888,0.03011051959713024,1.0,0.27275691669443636,-0.13250114827450224,0.08682707948766809,-0.06797469085431228,-0.07465555559583198,0.17100063325747858,0.03179658111876597,0.021478551090224327,0.025139349472982603,0.08100556207775639,0.05428669972920743,0.06061106435564311,0.0205972997479459,-0.008211714027522002,0.08110707347896402,-0.03612521108261192,0.04906104754248581,-0.03267982402634711,0.10250632660195341,-0.031148729033749815,-0.08394078709707942,-0.018025434564502875,-0.1409952399119506,0.0878444246632095,-0.13648679594000843
respiratory_rate,0.07883834548331979,0.029421875493785266,0.020029584552588565,0.27275691669443636,1.0,-0.005565330311419433,0.04768722097064525,-0.20052873290062614,0.0335753424668271,0.08772704487634037,0.023987280391547586,0.019362239495897434,0.014712241762976483,0.04667923545299199,0.03214652467598841,0.04385427103019407,0.10382312938183492,0.06316229407548189,0.07072839533796078,-0.11216989937013302,0.038711337694655415,-2.1806694310718546e-05,0.039679041488456905,-0.03030244444021604,-0.020990894990432784,-0.05927892874672437,-0.03869632948248563,0.06815798248129674,-0.063710496007286
systolic_blood_pressure,0.02753090424552833,0.0014376740993928233,0.012227492061989666,-0.13250114827450224,-0.005565330311419433,1.0,0.015380163561893765,-0.024456419250530076,0.07282120982161934,-0.07884120285895131,-0.04911782656220216,-0.012607883686125839,-0.015518325933343397,-0.09609830058617551,-0.03317995445408167,-0.0802991235161956,-0.09720470870629962,-0.06647486164014355,-0.14315948977975423,-0.010561800068396835,0.10914206080133448,-0.023452593669258327,0.057018137918558594,0.03916442759290821,0.1515929073290177,-0.06893352498173755,0.14304753019496794,-0.05958344478414319,0.1743089036712543
temperature,-0.029214741823080204,-0.0007598980327406149,-0.015598983824275998,0.08682707948766809,0.04768722097064525,0.015380163561893765,1.0,-0.01634641254093469,-0.004439904761989485,0.005985123762649317,0.009335583392072943,-0.004852621304487419,0.011188909590411179,-0.011533664935532735,-0.013822403101434993,-0.001223728852098378,-0.038063998073351604,-0.03351352938418045,-0.010567499290661326,-0.016388459605034558,0.014343625312600337,-0.0007770499029622356,-0.002936974785195288,0.009478987343592758,0.016500439210402406,0.008479948649866302,0.013257400782552947,-0.004184848898547414,0.008448350971718246
oxygen_saturation,-0.07567831432599961,0.032261769022419735,-0.02038767760717681,-0.06797469085431228,-0.20052873290062614,-0.024456419250530076,-0.01634641254093469,1.0,-0.2002339890533682,0.0035934296070322764,-0.004467181843179627,-0.003394436818344434,-0.008837603337882345,0.0009144171393607063,-0.020291735509590295,-0.014570864031329431,-0.019778967316515145,0.003314436172765382,-0.016924914673147582,0.25984491657698244,-0.02478177544073833,0.025204499411327165,0.008468527655221157,0.05598954436762154,-0.15169439253362427,0.1445742875572848,-0.14403434284272182,0.004949917374565849,-0.03401169350786551
gcs,-0.004691407278583813,0.0027109170699884696,0.037014168344539786,-0.07465555559583198,0.0335753424668271,0.07282120982161934,-0.004439904761989485,-0.2002339890533682,1.0,-0.1226542863747344,-0.02094044851882067,0.003200433670640287,0.002063067318904945,-0.10362372603904228,-0.056347869377190545,-0.03655399581113826,-0.05042587348603013,-0.03986498466004502,-0.024300252173227517,-0.10412081250396801,0.048279861286567034,0.004462128355364169,-0.07517686603713498,-0.15407985532723173,0.02328626701836657,-0.12300304635688378,0.09151734479928646,-0.08231691430080268,0.07386356234348117
wbc,-0.015117215836607353,0.007586157973446541,-0.04878728063609176,0.17100063325747858,0.08772704487634037,-0.07884120285895131,0.005985123762649317,0.0035934296070322764,-0.1226542863747344,1.0,-0.005323996408339321,0.014137905768806826,0.020622208467699712,0.07922550913588697,0.05674548057801207,0.011580697226511696,0.08920204945559004,0.06948163547889749,0.036302838955736765,0.02260839207958051,0.27690318737800607,0.046423653599069165,0.20239440722030116,-0.019777003106438814,0.059514944908826105,0.025129778261659037,-0.153202581775228,0.07839542356806828,-0.07063288855310111
