,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,iqr,missing_count,missing_percent,skewness
age,116573.0,63.924974050594905,16.471940619492184,18.0,21.0,31.0,54.0,66.0,76.0,88.0,90.0,90.0,22.0,0,0.0,-0.569738207654691
sex_female,116573.0,0.4537671673543616,0.4978600721556205,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.1857293984582359
elixhauser_count,116573.0,1.1384797508857112,1.213039229101865,0.0,0.0,0.0,0.0,1.0,1.0,4.0,5.0,11.0,1.0,0,0.0,1.7657659670425538
heart_rate,116573.0,85.5857384650498,16.380528322908436,24.0,52.9023647526944,60.905792055705014,73.7080291970803,84.39930555555556,96.28222996515679,114.30586854460093,127.02221537227777,172.66666666666666,22.574200768076494,0,0.0,0.35101468730179886
respiratory_rate,116573.0,19.718464181130965,4.605790586530508,4.0,11.762312886030967,13.633802816901408,16.647686832740213,19.008403361344538,21.954703832752614,28.261246034635185,34.076687397708675,80.0,5.307017000012401,0,0.0,1.275917008458001
systolic_blood_pressure,116573.0,119.69205583377652,18.924823694485706,36.0,85.02906742640077,93.31582331562763,105.59223300970874,117.23076923076923,131.7391304347826,154.29910447761193,169.28347826086957,248.0,26.14689742507386,0,0.0,0.5618569842880572
temperature,116573.0,37.09993529146895,0.3879412647801386,26.0,35.80673884711779,36.99620828538551,37.11945945945946,37.11945945945946,37.11945945945946,37.236544369848986,38.01662552664188,43.849999999999994,0.0,0,0.0,-7.0656198694053405
oxygen_saturation,116573.0,96.87319041796795,2.1819269711128566,55.0,90.95602252864634,93.28403479236812,95.60740740740741,97.10162601626017,98.48591549295774,99.77003484320558,99.99214320866142,100.0,2.8785080855503367,0,0.0,-1.811390548961397
gcs,116573.0,12.510529882562858,3.4538967327011423,3.0,3.0,3.0,11.0,14.0,15.0,15.0,15.0,15.0,4.0,0,0.0,-1.5558001457942106
wbc,116573.0,12.285356128777677,7.574324524404654,0.1,2.1,4.5,7.9,10.8,14.8,24.6,37.4,198.1,6.9,0,0.0,4.799926984720498
band_count,116573.0,8.157420672025253,4.109343344107219,0.0,1.0,7.8,7.8,7.8,7.8,7.8,26.0,97.4,0.0,0,0.0,9.833643733636357
esr,116573.0,31.212081699879047,5.081171830996605,0.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,145.0,0.0,0,0.0,11.248185197027594
crp,116573.0,9.407941375790275,8.876963500546996,0.0,9.1,9.1,9.1,9.1,9.1,9.1,9.1,499.0,0.0,0,0.0,36.35781890959593
ast,116573.0,82.29316394019199,376.885837917064,3.0,10.0,14.0,32.0,32.0,32.0,181.0,1165.2799999999988,9958.0,0.0,0,0.0,14.349529765724347
alt,116573.0,60.31704597119401,264.21347537764154,2.0,7.0,11.0,27.0,27.0,27.0,121.0,790.0,9529.0,0.0,0,0.0,15.793933208930673
total_bilirubin,116573.0,0.9214366963190448,1.7669428260135116,0.1,0.2,0.3,0.64,0.64,0.64,2.0,7.1,58.0,0.0,0,0.0,12.138796421086035
bun,116573.0,27.00073945081623,22.0117869215308,1.0,4.0,7.0,13.0,20.0,33.0,71.0,110.0,249.0,20.0,0,0.0,2.3891271752133556
creatinine,116573.0,1.5562720955967506,1.7005886389292673,0.1,0.36,0.5,0.75,1.0,1.6,4.7,9.14,29.3,0.8500000000000001,0,0.0,4.35017476623772
inr,116573.0,1.4238760261810197,0.6714584420664086,0.7,0.98,1.0,1.3,1.3,1.3,2.3,4.5,19.9,0.0,0,0.0,7.9432201980346
pao2,116573.0,116.66040163674265,61.52112897729197,20.0,47.0,65.0,103.0,103.0,103.0,239.0,415.0,668.0,0.0,0,0.0,3.6217501061072555
platelets,116573.0,203.8834721590763,96.6347520666587,1.0,32.0,74.0,143.0,191.0,247.0,375.0,523.0,1857.0,104.0,0,0.0,1.6140830809537932
troponin,116573.0,1.3666947148996764,12.50743263735666,0.0,0.019,0.049,0.19,0.19,0.19,1.64,27.59279999999999,853.14,0.0,0,0.0,26.094808964840027
glucose,116573.0,147.92311255608075,81.24969519515228,20.0,63.0,81.0,104.0,128.0,164.0,279.0,458.0,1791.0,60.0,0,0.0,4.720759331860363
sodium,116573.0,138.33265850582896,5.3535473635203354,93.0,123.0,130.0,136.0,139.0,141.0,146.0,152.0,195.0,5.0,0,0.0,-0.20510945674535308
hemoglobin,116573.0,10.951929434774776,2.281731296214533,2.1,6.1,7.4,9.3,10.9,12.5,14.8,16.3,23.6,3.1999999999999993,0,0.0,0.1648163735308679
chloride,116573.0,104.32455113962925,6.750624366434933,52.0,86.0,93.0,101.0,105.0,108.0,114.0,120.0,150.0,7.0,0,0.0,-0.31858945870238387
bicarbonate,116573.0,24.091023650416478,5.623991037281167,2.0,9.0,15.0,21.0,24.0,27.0,33.0,41.0,60.0,6.0,0,0.0,0.4864306157014281
lactate,116573.0,1.9319687234608354,1.3611130736201207,0.1,0.6,0.9,1.7,1.7,1.7,3.7,8.4,30.0,0.0,0,0.0,6.654552762413315
albumin,116573.0,2.878527188971717,0.4910770029234547,0.6,1.5,1.9,2.8,2.9,2.9,3.7,4.2,6.0,0.10000000000000009,0,0.0,-0.2075350432111265
