,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,iqr,missing_count,missing_percent,skewness
age,116573.0,63.924974050594905,16.471940619492184,18.0,21.0,31.0,54.0,66.0,76.0,88.0,90.0,90.0,22.0,0,0.0,-0.569738207654691
sex_female,116573.0,0.4537671673543616,0.4978600721556205,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.1857293984582359
elixhauser_count,116573.0,0.625746860902022,0.5079208679960219,0.0,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,1.6094379124341003,1.791759469228055,2.4849066497880004,0.6931471805599453,0,0.0,0.30931175408107237
heart_rate,116573.0,85.5857384650498,16.380528322908436,24.0,52.9023647526944,60.905792055705014,73.7080291970803,84.39930555555556,96.28222996515679,114.30586854460093,127.02221537227777,172.66666666666666,22.574200768076494,0,0.0,0.35101468730179886
respiratory_rate,116573.0,3.008244444943219,0.21104052456282743,1.6094379124341003,2.546496522148814,2.683334114057912,2.870604717155388,2.9961523533753334,3.13352287553791,3.3762639795986593,3.557536733096527,4.394449154672439,0.26291815838252175,0,0.0,0.2784549054825994
systolic_blood_pressure,116573.0,119.69205583377652,18.924823694485706,36.0,85.02906742640077,93.31582331562763,105.59223300970874,117.23076923076923,131.7391304347826,154.29910447761193,169.28347826086957,248.0,26.14689742507386,0,0.0,0.5618569842880572
temperature,116573.0,37.09993529146895,0.3879412647801386,26.0,35.80673884711779,36.99620828538551,37.11945945945946,37.11945945945946,37.11945945945946,37.236544369848986,38.01662552664188,43.849999999999994,0.0,0,0.0,-7.0656198694053405
oxygen_saturation,116573.0,96.87319041796795,2.1819269711128566,55.0,90.95602252864634,93.28403479236812,95.60740740740741,97.10162601626017,98.48591549295774,99.77003484320558,99.99214320866142,100.0,2.8785080855503367,0,0.0,-1.811390548961397
gcs,116573.0,12.510529882562858,3.4538967327011423,3.0,3.0,3.0,11.0,14.0,15.0,15.0,15.0,15.0,4.0,0,0.0,-1.5558001457942106
wbc,116573.0,2.4677682991541694,0.48727855876884957,0.09531017980432487,1.1314021114911006,1.7047480922384253,2.186051276738094,2.468099531471619,2.760009940032921,3.242592351485517,3.648057459593681,5.293807211070151,0.5739586632948268,0,0.0,-0.23961289025143392
band_count,116573.0,2.169689072244552,0.2840554336653293,0.0,0.6931471805599453,2.174751721484161,2.174751721484161,2.174751721484161,2.174751721484161,2.174751721484161,3.295836866004329,4.589040804058207,0.0,0,0.0,-0.6742981905508096
esr,116573.0,3.4631773082902284,0.14532712209518422,0.0,3.4657359027997265,3.4657359027997265,3.4657359027997265,3.4657359027997265,3.4657359027997265,3.4657359027997265,3.4657359027997265,4.983606621708336,0.0,0,0.0,-6.819153611043165
crp,116573.0,2.3126817565143782,0.16609947836045186,0.0,2.312535423847214,2.312535423847214,2.312535423847214,2.312535423847214,2.312535423847214,2.312535423847214,2.312535423847214,6.214608098422191,0.0,0,0.0,4.7236112314391905
ast,116573.0,3.6365245095665975,0.7883120654110698,1.3862943611198906,2.3978952727983707,2.70805020110221,3.4965075614664802,3.4965075614664802,3.4965075614664802,5.204006687076795,7.06157440121575,9.20623194393164,0.0,0,0.0,2.6600311642192795
alt,116573.0,3.435724396212438,0.7340617969772429,1.0986122886681098,2.0794415416798357,2.4849066497880004,3.332204510175204,3.332204510175204,3.332204510175204,4.804021044733257,6.673297967767654,9.162199996648248,0.0,0,0.0,2.6897722016908054
total_bilirubin,116573.0,0.5589163199751661,0.32543899280256994,0.09531017980432487,0.18232155679395465,0.262364264467491,0.49469624183610705,0.49469624183610705,0.49469624183610705,1.0986122886681098,2.0918640616783932,4.07753744390572,0.0,0,0.0,4.154329278970365
