,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,iqr,missing_count,missing_percent,skewness
age,116573.0,63.924974050594905,16.471940619492184,18.0,21.0,31.0,54.0,66.0,76.0,88.0,90.0,90.0,22.0,0,0.0,-0.569738207654691
sex_female,116557.0,0.4538294568322795,0.4978658529625197,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,16,0.01372530517358222,0.18547701211603979
elixhauser_count,98847.0,1.1633129988770523,1.3157831950193488,0.0,0.0,0.0,0.0,1.0,2.0,4.0,6.0,11.0,2.0,17726,15.2059224691824,1.575284287539213
heart_rate,115733.0,85.5943496964529,16.439554007108715,24.0,52.86779380956596,60.873936170212765,73.62711864406779,84.39930555555556,96.3936170212766,114.35443774463133,127.04895006747638,172.66666666666666,22.766498377208805,840,0.7205785216130665,0.3481990077248985
respiratory_rate,107861.0,19.77581623481097,4.783588787049073,4.0,11.673643074250977,13.519163763066203,16.43014705882353,19.008403361344538,22.30902777777778,28.540983606557376,34.344229094076645,80.0,5.87888071895425,8712,7.473428667015518,1.1951516436799476
systolic_blood_pressure,115729.0,119.71000575033104,18.99253580700474,36.0,85.0,93.27428571428571,105.50731707317073,117.23076923076923,131.86666666666667,154.37425373134326,169.33333333333334,248.0,26.35934959349595,844,0.7240098479064621,0.5571035062174947
temperature,13543.0,36.95140283720757,1.1271885908803099,26.0,32.84237303067993,34.78963215520553,36.62810114241775,37.11945945945946,37.568794282605595,38.2218595472004,38.986875,43.849999999999994,0.9406931401878467,103030,88.382387002136,-2.0822317045359124
oxygen_saturation,114836.0,96.86973511967966,2.19818475774732,55.0,90.93426593841228,93.2685129946614,95.58188153310104,97.10162601626017,98.50847457627118,99.77470355731225,99.99247127252092,100.0,2.9265930431701435,1737,1.4900534429070196,-1.7935933382240774
gcs,89321.0,12.05608983329788,3.832195893835856,3.0,3.0,3.0,10.0,14.0,15.0,15.0,15.0,15.0,5.0,27252,23.377626036903916,-1.1470589723036926
wbc,112537.0,12.338626585034255,7.703633182229194,0.1,2.0,4.5,7.8,10.8,15.0,24.8,37.7,198.1,7.2,4036,3.4622082300361146,4.705390601790266
band_count,9386.0,12.239122096739827,13.843058882674875,0.0,0.0,1.0,3.0,7.8,17.0,40.0,68.0,97.4,14.0,107187,91.94839285254733,2.2856065092789835
esr,2310.0,41.702597402597405,34.512848608973535,0.0,1.0,3.0,13.0,31.0,65.0,110.0,130.0,145.0,52.0,114263,98.01840906556407,0.8729443556625192
crp,1799.0,29.054224569205118,68.6784283014413,0.0,0.1,0.4,2.51,9.1,21.4,160.39999999999964,396.02,499.0,18.89,114774,98.45676099954534,4.213192307756459
ast,56059.0,136.58311778661766,538.2367702549872,3.0,8.0,12.0,20.0,32.0,70.0,421.0,2431.4199999999983,9958.0,50.0,60514,51.91081982963465,9.94223914582166
alt,55506.0,96.97203905884048,379.53654627419576,2.0,6.0,9.0,17.0,27.0,51.0,286.0,1746.0,9529.0,34.0,61067,52.38520068969659,10.900990536096227
total_bilirubin,54662.0,1.2401961143024405,2.543020335133713,0.1,0.2,0.2,0.4,0.64,1.1,3.7,12.5,58.0,0.7000000000000001,61911,53.10921053760305,8.30749007377542
bun,116126.0,27.02768716738715,22.049817231869124,1.0,4.0,7.0,13.0,20.0,33.0,71.0,111.0,249.0,20.0,447,0.38345071328695324,2.3823924494214896
creatinine,116088.0,1.5585961253531804,1.703756441130352,0.1,0.36,0.5,0.74,1.0,1.6,4.7,9.15,29.3,0.8600000000000001,485,0.41604831307421103,4.340081831240393
inr,47793.0,1.6021488502500367,1.022664059812651,0.7,0.9,1.0,1.1,1.3,1.6,3.3,6.0,19.9,0.5,68780,59.00165561493657,4.95836533684905
pao2,46956.0,136.91332311099754,93.32486635468908,20.0,37.0,55.0,76.0,103.0,162.0,350.0,479.0,668.0,86.0,69617,59.719660641829584,1.919217880352786
platelets,111909.0,204.42041301414542,98.59138619920812,1.0,32.0,72.0,141.0,191.0,251.0,379.0,527.0,1857.0,110.0,4664,4.000926458099217,1.5669783088598899
troponin,24668.0,5.750679138965461,26.737802935084446,0.0,0.01,0.02,0.05,0.19,1.43,25.31,118.80569999999945,853.14,1.38,91905,78.83901074862962,12.127697605247604
glucose,115832.0,148.05056461081566,81.49349052615098,20.0,63.0,81.0,104.0,128.0,165.0,279.0,458.0,1791.0,61.0,741,0.6356531958515265,4.703849888384851
sodium,116345.0,138.3313507241394,5.358708893368371,93.0,123.0,130.0,136.0,139.0,141.0,146.0,152.0,195.0,5.0,228,0.19558559872354664,-0.20418977002673708
hemoglobin,113149.0,10.953500870533544,2.315979860584251,2.1,6.1,7.3,9.2,10.9,12.6,14.8,16.4,23.6,3.4000000000000004,3424,2.937215307146595,0.1603464574785174
chloride,116142.0,104.32204456613457,6.763012937264742,52.0,86.0,93.0,101.0,105.0,108.0,114.0,120.0,150.0,7.0,431,0.369725408113371,-0.3169094867464796
bicarbonate,115441.0,24.091916216941986,5.651490825131833,2.0,9.0,15.0,21.0,24.0,27.0,33.0,41.0,60.0,6.0,1132,0.971065341030942,0.4835912293638425
lactate,34625.0,2.4809758844765346,2.410114614032801,0.1,0.5,0.7,1.1,1.7,2.9,7.083999999999869,12.9,30.0,1.7999999999999998,81948,70.29758177279473,3.342609633701816
albumin,60315.0,2.8584987150791674,0.6821031500751298,0.6,1.3,1.7,2.4,2.9,3.3,3.9,4.4,6.0,0.8999999999999999,56258,48.25988865346178,-0.06159561829914339
