elixhauser_category,icu_stay_count
Hypertension uncomplicated,16570
Cardiac arrhythmias,15744
Fluid and electrolyte disorders,13519
Congestive heart failure,12367
Chronic pulmonary disease,11852
Renal failure,10969
Other neurological disorders,7878
Solid tumor without metastasis,4819
Coagulopathy,4426
Diabetes uncomplicated,4390
Liver disease,3592
Alcohol abuse,3128
Hypothyroidism,3096
Weight loss,2575
Pulmonary circulation disorders,1977
Depression,1908
Valvular disease,1796
Peripheral vascular disorders,1554
Obesity,1215
Metastatic cancer,929
Rheumatoid arthritis/collagen vascular diseases,561
Peptic ulcer disease excluding bleeding,507
Lymphoma,477
Psychoses,435
Paralysis,359
Hypertension complicated,256
Drug abuse,162
Blood loss anemia,143
AIDS/HIV,106
Deficiency anemia,42
Diabetes complicated,0
