variable,imputation_method,imputation_value
age,median,66.0
elixhauser_count,median,1.0
heart_rate,median,84.39930555555556
respiratory_rate,median,19.008403361344538
systolic_blood_pressure,median,117.23076923076923
temperature,median,37.11945945945946
oxygen_saturation,median,97.10162601626017
gcs,median,14.0
wbc,median,10.8
band_count,median,7.8
esr,median,31.0
crp,median,9.1
ast,median,32.0
alt,median,27.0
total_bilirubin,median,0.64
bun,median,20.0
creatinine,median,1.0
inr,median,1.3
pao2,median,103.0
platelets,median,191.0
troponin,median,0.19
glucose,median,128.0
sodium,median,139.0
hemoglobin,median,10.9
chloride,median,105.0
bicarbonate,median,24.0
lactate,median,1.7
albumin,median,2.9
sex_female,most frequent category,0.0
