variable,available_icu_stays,available_percent_of_initial_cohort
bicarbonate,121445,91.57988402168749
sodium,121263,91.4426405049355
creatinine,121207,91.40041173055026
bun,120795,91.08972860471604
chloride,120600,90.94268197962462
glucose,120520,90.88235515907428
hemoglobin,118164,89.10573029386703
wbc,117040,88.25813846513488
platelets,115933,87.42336608576966
albumin,60822,45.86497349390322
ast,56491,42.59903024635965
alt,55680,41.98746710303067
total_bilirubin,55005,41.47845955463725
inr,50030,37.72688540166351
pao2,49449,37.28876186741673
lactate,35359,26.66370059798961
troponin,26354,19.873162859792927
band_count,9525,7.1826620717738345
esr,2484,1.8731477780877908
crp,1852,1.3965658957401725
