variable,available_count,missing_count,missing_percent,high_missingness_warning
crp,1799,114774,98.45676099954534,True
esr,2310,114263,98.01840906556407,True
band_count,9386,107187,91.94839285254733,True
temperature,13543,103030,88.382387002136,True
troponin,24668,91905,78.83901074862962,True
lactate,34625,81948,70.29758177279473,True
pao2,46956,69617,59.719660641829584,True
inr,47793,68780,59.00165561493657,True
total_bilirubin,54662,61911,53.10921053760305,True
alt,55506,61067,52.38520068969659,True
ast,56059,60514,51.91081982963465,True
albumin,60315,56258,48.25988865346178,False
gcs,89321,27252,23.377626036903916,False
elixhauser_count,98847,17726,15.2059224691824,False
respiratory_rate,107861,8712,7.473428667015518,False
platelets,111909,4664,4.000926458099217,False
wbc,112537,4036,3.4622082300361146,False
hemoglobin,113149,3424,2.937215307146595,False
oxygen_saturation,114836,1737,1.4900534429070196,False
bicarbonate,115441,1132,0.971065341030942,False
systolic_blood_pressure,115729,844,0.7240098479064621,False
heart_rate,115733,840,0.7205785216130665,False
glucose,115832,741,0.6356531958515265,False
creatinine,116088,485,0.41604831307421103,False
bun,116126,447,0.38345071328695324,False
chloride,116142,431,0.369725408113371,False
sodium,116345,228,0.19558559872354664,False
sex_female,116557,16,0.01372530517358222,False
age,116573,0,0.0,False
