variable,available_count,missing_count,missing_percent
temperature,13557,109843,89.01377633711508
lactate,34969,88431,71.66207455429497
inr,49251,74149,60.08833063209076
total_bilirubin,54834,68566,55.56401944894651
albumin,60631,62769,50.866288492706644
urine_output,92526,30874,25.0194489465154
gcs,93946,29454,23.86871961102107
respiratory_rate,113095,10305,8.350891410048622
platelets,115073,8327,6.747974068071312
wbc,116128,7272,5.893030794165316
hemoglobin,116828,6572,5.325769854132901
glucose,120140,3260,2.641815235008104
bicarbonate,120255,3145,2.548622366288493
oxygen_saturation,120722,2678,2.170178282009725
creatinine,120756,2644,2.1426256077795784
sodium,120811,2589,2.09805510534846
potassium,121408,1992,1.6142625607779577
heart_rate,121734,1666,1.3500810372771475
mean_arterial_pressure,121746,1654,1.3403565640194488
age,123400,0,0.0
