variable,minimum_plausible_value,maximum_plausible_value
age,18.0,100
sex_female,0.0,1
elixhauser_count,0.0,31
heart_rate,20.0,250
respiratory_rate,4.0,80
systolic_blood_pressure,30.0,300
temperature,25.0,45
oxygen_saturation,50.0,100
gcs,3.0,15
wbc,0.1,200
band_count,0.0,100
esr,0.0,200
crp,0.0,500
ast,1.0,10000
alt,1.0,10000
total_bilirubin,0.1,80
bun,1.0,250
creatinine,0.1,30
inr,0.5,20
pao2,20.0,700
platelets,1.0,2000
troponin,0.0,1000
glucose,20.0,2000
sodium,90.0,200
hemoglobin,2.0,25
chloride,50.0,150
bicarbonate,2.0,60
lactate,0.1,30
albumin,0.5,6
