observed_feature_count,icu_stay_count,icu_stay_percent
1,2,0.0015081705137582856
2,214,0.16137424497213654
3,121,0.09124431608237626
4,154,0.11612912955938799
5,110,0.0829493782567057
6,478,0.36045275278823025
7,2090,1.5760381868774085
8,2702,2.037538364087444
9,1385,1.0444080807776126
10,1284,0.9682454698328192
11,1236,0.9320493775026204
12,1331,1.003687476906139
13,2156,1.6258078138314318
14,2775,2.0925865878396213
15,3277,2.4711373867929507
16,8634,6.510772107894519
17,16865,12.717647857266742
18,16553,12.48237325712045
19,11550,8.709684716954099
20,9597,7.236956210269133
21,12382,9.337083650677545
22,13644,10.288739244859023
23,11182,8.432181342422576
24,7725,5.825308609391378
25,3906,2.9454570133699316
26,1103,0.8317560383376945
27,144,0.10858827699059656
28,11,0.008294937825670569
