variable,mean_after_scaling,standard_deviation_after_scaling,minimum_after_scaling,maximum_after_scaling
age,7.801932709743493e-17,0.9999999999999999,-2.78808502848657,1.5830033869337248
sex_female,2.2918177334871512e-17,0.9999999999999999,-0.9114390549159372,1.0971660634974993
elixhauser_count,0.0,0.9999999999999999,-1.2319823505484753,3.6603492400349227
heart_rate,-1.6384058690461335e-16,0.9999999999999999,-3.759707953471493,5.316147317793377
respiratory_rate,1.2678140653333176e-15,0.9999999999999999,-6.628170277473565,6.568457211191348
systolic_blood_pressure,-2.282065317599972e-16,1.0,-4.422361664003872,6.779904350716815
temperature,1.026588058363936e-14,0.9999999999999999,-28.612534702748952,17.399782579551054
oxygen_saturation,-1.5633122667148524e-15,0.9999999999999999,-19.191004361842005,1.4330557506713753
gcs,-2.262560485825613e-16,1.0,-2.7535770206863037,0.7207745303054454
wbc,7.304559499497346e-16,1.0,-4.868813233352523,5.7996621900648675
band_count,1.8061474223056188e-15,1.0,-7.638292112375822,8.517218198023963
esr,-3.1249178606494486e-15,1.0,-23.830322327801422,10.462161590357391
crp,-4.9854350015260926e-15,0.9999999999999998,-13.923533649013535,23.491603444569293
ast,-2.0723883760256154e-16,1.0,-2.8545038175049955,7.0653889091102915
alt,1.0727657475897303e-16,1.0,-3.18382204533123,7.801114546394567
total_bilirubin,-1.170289906461524e-16,0.9999999999999999,-1.4245623263245817,10.811968736898509
bun,-2.0285025045333081e-16,0.9999999999999999,-3.6255245848644324,3.6471321991375296
creatinine,-2.033378712476898e-16,1.0,-1.7535568858609591,6.211009963997935
inr,-6.943720111671709e-16,1.0,-1.9242044401928817,12.496643840174555
pao2,1.1117754111384477e-15,1.0,-4.575369233810631,5.056528305309483
platelets,-3.1207730838973974e-17,1.0,-8.753148694911188,4.498087763365039
troponin,1.2385568176717797e-16,1.0,-0.5238788904886263,11.800654689923432
glucose,5.061503845446091e-16,1.0,-4.775172393542111,6.581652498755698
sodium,1.123478310203063e-15,1.0,-8.467815799092742,10.585053367986909
hemoglobin,1.4433575513025464e-16,1.0,-3.8794959849249224,5.5432139779689535
chloride,-6.943720111671709e-16,0.9999999999999999,-7.751101635798246,6.766136329247972
bicarbonate,-1.0922705793640891e-16,1.0,-3.928014510775889,6.384990682204674
lactate,-6.641395219169149e-16,0.9999999999999999,-3.431901702578793,8.878923256744923
albumin,4.759178952943531e-16,1.0,-4.6398771443845686,6.356408834096103
