variable,skewness_before,transformation,skewness_after,absolute_skewness_improvement
age,-0.569738207654691,none,-0.569738207654691,0.0
sex_female,0.1857293984582359,none,0.1857293984582359,0.0
elixhauser_count,1.7657659670425538,log1p,0.30931175408107237,1.4564542129614815
heart_rate,0.35101468730179886,none,0.35101468730179886,0.0
respiratory_rate,1.275917008458001,log1p,0.2784549054825994,0.9974621029754016
systolic_blood_pressure,0.5618569842880572,none,0.5618569842880572,0.0
temperature,-7.0656198694053405,none,-7.0656198694053405,0.0
oxygen_saturation,-1.811390548961397,none,-1.811390548961397,0.0
gcs,-1.5558001457942106,none,-1.5558001457942106,0.0
wbc,4.799926984720498,log1p,-0.23961289025143392,4.5603140944690645
band_count,9.833643733636357,log1p,-0.6742981905508096,9.159345543085548
esr,11.248185197027594,log1p,-6.819153611043165,4.429031585984428
crp,36.35781890959593,log1p,4.7236112314391905,31.634207678156738
ast,14.349529765724347,log1p,2.6600311642192795,11.689498601505067
alt,15.793933208930673,log1p,2.6897722016908054,13.104161007239867
total_bilirubin,12.138796421086035,log1p,4.154329278970365,7.98446714211567
bun,2.3891271752133556,log1p,0.2767516349180746,2.112375540295281
creatinine,4.35017476623772,log1p,1.7921990867369704,2.5579756795007498
inr,7.9432201980346,log1p,4.179271729277158,3.7639484687574427
pao2,3.6217501061072555,log1p,1.4175943720622823,2.2041557340449733
platelets,1.6140830809537932,log1p,-1.203452370751899,0.41063071020189423
troponin,26.094808964840027,log1p,5.591764570052802,20.503044394787224
glucose,4.720759331860363,log1p,0.9713515059764335,3.74940782588393
sodium,-0.20510945674535308,none,-0.20510945674535308,0.0
hemoglobin,0.1648163735308679,none,0.1648163735308679,0.0
chloride,-0.31858945870238387,none,-0.31858945870238387,0.0
bicarbonate,0.4864306157014281,none,0.4864306157014281,0.0
lactate,6.654552762413315,log1p,2.750375023668853,3.9041777387444623
albumin,-0.2075350432111265,none,-0.2075350432111265,0.0
