variable,display_name,unit,group,cluster,n,mean,standard_deviation,median,q1,q3,minimum,maximum,skewness
age,Age,years,Overall,,116573,63.924974050594905,16.471940619492184,66.0,54.0,76.0,18.0,90.0,-0.569738207654691
age,Age,years,Cluster 0,0.0,32719,66.0600262844219,15.386507359646277,68.0,56.0,78.0,18.0,90.0,-0.5829395231704385
age,Age,years,Cluster 1,1.0,83854,63.09189782240561,16.8032129106404,65.0,53.0,76.0,18.0,90.0,-0.5481472128910823
sex_female,Female sex,N (%),Overall,,116573,0.4537671673543616,0.4978600721556205,0.0,0.0,1.0,0.0,1.0,0.1857293984582359
sex_female,Female sex,N (%),Cluster 0,0.0,32719,0.4014181362511079,0.490192778566628,0.0,0.0,1.0,0.0,1.0,0.4022412993353461
sex_female,Female sex,N (%),Cluster 1,1.0,83854,0.474193240632528,0.4993365444633028,0.0,0.0,1.0,0.0,1.0,0.10336665795758722
elixhauser_count,Elixhauser comorbidity count,count,Overall,,116573,1.1384797508857112,1.213039229101865,1.0,0.0,1.0,0.0,11.0,1.7657659670425538
elixhauser_count,Elixhauser comorbidity count,count,Cluster 0,0.0,32719,1.3913322534307284,1.4159563937236843,1.0,0.0,2.0,0.0,11.0,1.4690994414551068
elixhauser_count,Elixhauser comorbidity count,count,Cluster 1,1.0,83854,1.0398192095785532,1.1084451535393145,1.0,0.0,1.0,0.0,11.0,1.8498412212482402
heart_rate,Heart rate,beats/min,Overall,,116573,85.5857384650498,16.380528322908436,84.39930555555556,73.7080291970803,96.2822299651568,24.0,172.66666666666666,0.35101468730179886
heart_rate,Heart rate,beats/min,Cluster 0,0.0,32719,90.49283403275757,17.24650184124835,89.52836879432624,78.19745128403665,102.17715733084896,29.402985074626866,172.66666666666666,0.23804747302090296
heart_rate,Heart rate,beats/min,Cluster 1,1.0,83854,83.67103839254484,15.617326597622645,82.71170802122347,72.40365212142119,93.83966748397643,24.0,156.30877192982456,0.3469985535309045
respiratory_rate,Respiratory rate,breaths/min,Overall,,116573,19.718464181130965,4.605790586530508,19.008403361344534,16.647686832740213,21.95470383275261,4.0,80.0,1.275917008458001
respiratory_rate,Respiratory rate,breaths/min,Cluster 0,0.0,32719,20.751089901783224,5.039639901605405,19.714285714285715,17.409198839152232,23.523056893797406,4.0,73.0,0.9971845307474475
respiratory_rate,Respiratory rate,breaths/min,Cluster 1,1.0,83854,19.31554385587491,4.359169480677951,19.008403361344534,16.428070175438595,21.350180505415164,4.0,80.0,1.3932810364693158
systolic_blood_pressure,Systolic blood pressure,mm Hg,Overall,,116573,119.69205583377652,18.924823694485706,117.23076923076924,105.59223300970874,131.7391304347826,36.0,248.0,0.5618569842880572
systolic_blood_pressure,Systolic blood pressure,mm Hg,Cluster 0,0.0,32719,113.09512921135564,18.361925519127894,109.77777777777776,100.39285714285714,122.7,36.0,241.0,0.859186598197247
systolic_blood_pressure,Systolic blood pressure,mm Hg,Cluster 1,1.0,83854,122.26611124149694,18.51312327938266,120.04301572617946,108.42857142857144,134.32,54.0,248.0,0.5154673983228615
temperature,Temperature,°C,Overall,,116573,37.09993529146895,0.3879412647801385,37.11945945945946,37.11945945945946,37.11945945945946,26.0,43.85,-7.0656198694053405
temperature,Temperature,°C,Cluster 0,0.0,32719,37.0500835727571,0.5775779691935286,37.11945945945946,37.11945945945946,37.11945945945946,26.0,43.85,-5.563973775613031
temperature,Temperature,°C,Cluster 1,1.0,83854,37.1193869381946,0.2787660125104238,37.11945945945946,37.11945945945946,37.11945945945946,27.7,41.06666666666667,-6.473526779108249
oxygen_saturation,Oxygen saturation,%,Overall,,116573,96.87319041796795,2.1819269711128566,97.10162601626016,95.6074074074074,98.48591549295774,55.0,100.0,-1.8113905489613973
oxygen_saturation,Oxygen saturation,%,Cluster 0,0.0,32719,96.93240270084212,2.5099017945919604,97.28571428571428,95.70794269692456,98.70534475724193,62.62083333333333,100.0,-2.7048490596052863
oxygen_saturation,Oxygen saturation,%,Cluster 1,1.0,83854,96.85008637184778,2.0392513893416018,97.06428571428572,95.57394366197182,98.39434095613106,55.0,100.0,-1.1344351871034768
gcs,Glasgow Coma Scale,score,Overall,,116573,12.510529882562858,3.4538967327011423,14.0,11.0,15.0,3.0,15.0,-1.5558001457942106
gcs,Glasgow Coma Scale,score,Cluster 0,0.0,32719,11.707815031021731,3.947957150349922,14.0,9.0,15.0,3.0,15.0,-1.1176293437525118
gcs,Glasgow Coma Scale,score,Cluster 1,1.0,83854,12.823741264578912,3.186398561991691,14.0,13.0,15.0,3.0,15.0,-1.7621173096693354
wbc,White blood cell count,×10³/µL,Overall,,116573,12.285356128777677,7.574324524404654,10.8,7.9,14.8,0.1,198.1,4.799926984720498
wbc,White blood cell count,×10³/µL,Cluster 0,0.0,32719,14.119408906140162,10.139810947364795,11.8,8.3,17.5,0.1,198.1,4.381076131338787
wbc,White blood cell count,×10³/µL,Cluster 1,1.0,83854,11.569726906289503,6.149343320503482,10.6,7.8,13.9,0.1,180.5,4.197216118581641
band_count,Band count,%,Overall,,116573,8.157420672025253,4.109343344107219,7.8,7.8,7.8,0.0,97.4,9.833643733636357
band_count,Band count,%,Cluster 0,0.0,32719,8.686591277239524,5.784864910864967,7.8,7.8,7.8,0.0,94.8,6.3307960809440145
band_count,Band count,%,Cluster 1,1.0,83854,7.950943544732509,3.2041493328591546,7.8,7.8,7.8,0.0,97.4,13.863919259815086
esr,Erythrocyte sedimentation rate,mm/hour,Overall,,116573,31.212081699879047,5.081171830996605,31.0,31.0,31.0,0.0,145.0,11.248185197027594
esr,Erythrocyte sedimentation rate,mm/hour,Cluster 0,0.0,32719,31.552370182462788,6.64327306471891,31.0,31.0,31.0,0.0,144.0,10.047047568204883
esr,Erythrocyte sedimentation rate,mm/hour,Cluster 1,1.0,83854,31.079304505449947,4.313895391881659,31.0,31.0,31.0,0.0,145.0,11.110106722219998
crp,C-reactive protein,source unit,Overall,,116573,9.407941375790275,8.876963500546996,9.1,9.1,9.1,0.0,499.0,36.35781890959593
crp,C-reactive protein,source unit,Cluster 0,0.0,32719,9.552802041627185,9.787817513440434,9.1,9.1,9.1,0.0,484.0,31.6532907866076
crp,C-reactive protein,source unit,Cluster 1,1.0,83854,9.351418179216255,8.494503062025528,9.1,9.1,9.1,0.0,499.0,38.783917385523615
ast,AST,U/L,Overall,,116573,82.29316394019199,376.885837917064,32.0,32.0,32.0,3.0,9958.0,14.349529765724347
