k,cluster,rank,variable,standardized_center_value,absolute_center_value,direction
2,0,1,creatinine,0.9755942994267958,0.9755942994267958,above overall average
2,0,2,bun,0.9336225690338725,0.9336225690338725,above overall average
2,0,3,ast,0.5879817994086274,0.5879817994086274,above overall average
2,0,4,bicarbonate,-0.518228364500235,0.518228364500235,below overall average
2,0,5,alt,0.5041415955761934,0.5041415955761934,above overall average
2,1,1,creatinine,-0.38115262588194543,0.38115262588194543,below overall average
2,1,2,bun,-0.36475478995621974,0.36475478995621974,below overall average
2,1,3,ast,-0.2297172164157451,0.2297172164157451,below overall average
2,1,4,bicarbonate,0.20246541216141653,0.20246541216141653,above overall average
2,1,5,alt,-0.19696188577883358,0.19696188577883358,below overall average
3,0,1,ast,2.3782689813489415,2.3782689813489415,above overall average
3,0,2,alt,2.2034839570650417,2.2034839570650417,above overall average
3,0,3,total_bilirubin,1.805766546817981,1.805766546817981,above overall average
3,0,4,lactate,1.2909201015257008,1.2909201015257008,above overall average
3,0,5,inr,0.694985471426651,0.694985471426651,above overall average
3,1,1,bun,0.8668005358370393,0.8668005358370393,above overall average
3,1,2,creatinine,0.7586578099856576,0.7586578099856576,above overall average
3,1,3,hemoglobin,-0.5478893257741775,0.5478893257741775,below overall average
3,1,4,age,0.403966574275782,0.403966574275782,above overall average
3,1,5,albumin,-0.285028995507974,0.285028995507974,below overall average
3,2,1,bun,-0.5856401053708878,0.5856401053708878,below overall average
3,2,2,creatinine,-0.5172144785888045,0.5172144785888045,below overall average
3,2,3,hemoglobin,0.3431317598365221,0.3431317598365221,above overall average
3,2,4,albumin,0.24644521906376343,0.24644521906376343,above overall average
3,2,5,inr,-0.22713374452510435,0.22713374452510435,below overall average
4,0,1,chloride,0.7245431702362392,0.7245431702362392,above overall average
4,0,2,sodium,0.5223850526514743,0.5223850526514743,above overall average
4,0,3,gcs,-0.45498996826918614,0.45498996826918614,below overall average
4,0,4,oxygen_saturation,0.4486098728114362,0.4486098728114362,above overall average
4,0,5,pao2,0.41007871817876224,0.41007871817876224,above overall average
4,1,1,hemoglobin,0.49416379559590873,0.49416379559590873,above overall average
4,1,2,bun,-0.4535519174845878,0.4535519174845878,below overall average
4,1,3,creatinine,-0.45204226960962496,0.45204226960962496,below overall average
4,1,4,bicarbonate,0.4233448017670021,0.4233448017670021,above overall average
4,1,5,systolic_blood_pressure,0.3648109461117628,0.3648109461117628,above overall average
4,2,1,ast,2.53146697324205,2.53146697324205,above overall average
4,2,2,alt,2.3728161311405316,2.3728161311405316,above overall average
4,2,3,total_bilirubin,1.9231784848361073,1.9231784848361073,above overall average
4,2,4,lactate,1.3364020784834547,1.3364020784834547,above overall average
4,2,5,inr,0.7516393175121366,0.7516393175121366,above overall average
4,3,1,creatinine,1.2819264423394905,1.2819264423394905,above overall average
