k,cluster,observation_count,observation_percent,small_cluster,extremely_small_cluster
2,0,32719,28.06739124840229,False,False
2,1,83854,71.93260875159771,False,False
3,0,9449,8.10565053657365,False,False
3,1,40496,34.73874739433659,False,False
3,2,66628,57.15560206908975,False,False
4,0,35711,30.634023315862162,False,False
4,1,48003,41.1784890154667,False,False
4,2,8360,7.1714719531967095,False,False
4,3,24499,21.016015715474424,False,False
5,0,7842,6.727115198201986,False,False
5,1,17842,15.305430931690871,False,False
5,2,27673,23.738773129283796,False,False
5,3,29488,25.29573743491203,False,False
5,4,33728,28.93294330591132,False,False
6,0,26407,22.6527583574241,False,False
6,1,28573,24.510821545297794,False,False
6,2,7407,6.353958463795219,False,False
6,3,33660,28.87461075892359,False,False
6,4,3329,2.8557213076784502,True,False
6,5,17197,14.75212956688084,False,False
