variable,mean,standard_deviation
age,6.436594485538381e-17,0.9999999999999999
sex_female,-5.0712562613332703e-17,0.9999999999999998
elixhauser_count,-3.900966354871747e-18,0.9999999999999999
heart_rate,-1.6286534531589543e-16,0.9999999999999999
respiratory_rate,1.275615998043061e-15,0.9999999999999999
systolic_blood_pressure,-2.3015701493743305e-16,1.0
temperature,1.0263930100461925e-14,0.9999999999999999
oxygen_saturation,-1.5652627498922884e-15,0.9999999999999999
gcs,-2.3600846446974066e-16,1.0
wbc,7.285054667722987e-16,1.0
band_count,1.740318615067158e-15,1.0
esr,-3.1797752000148324e-15,1.0
crp,-4.971781619284041e-15,0.9999999999999999
ast,-1.911473513887156e-16,1.0
alt,1.0142512522666541e-16,1.0
total_bilirubin,-6.436594485538381e-17,0.9999999999999999
bun,-1.9894928409845908e-16,0.9999999999999999
creatinine,-1.969988009210232e-16,1.0
inr,-6.92421527989735e-16,1.0
pao2,1.185893771881011e-15,1.0
platelets,-3.413345560512778e-17,1.0
troponin,1.2580616494461382e-16,1.0
glucose,5.100513508994808e-16,1.0
sodium,1.123478310203063e-15,1.0
hemoglobin,1.4238527195281876e-16,1.0
chloride,-6.865700784574274e-16,0.9999999999999999
bicarbonate,-9.069746775076811e-17,1.0
lactate,-6.495108980861459e-16,0.9999999999999999
albumin,4.837198280040965e-16,1.0
