k,seed_1,seed_2,adjusted_rand_index
2,0,10,0.9899167283559069
2,0,21,0.9917481808562766
2,0,42,0.9957650393276758
2,0,100,0.9932047559235312
2,10,21,0.9817751346926875
2,10,42,0.9862687628794624
2,10,100,0.9837191368396326
2,21,42,0.9942686526775555
2,21,100,0.9973985096759591
2,42,100,0.9943758640977887
3,0,10,0.9924835750623636
3,0,21,0.9848149714542976
3,0,42,0.982438944760998
3,0,100,0.9934851336988292
3,10,21,0.978415444313299
3,10,42,0.9895787687741435
3,10,100,0.992082651344477
3,21,42,0.9690011377421288
3,21,100,0.9853751932153105
3,42,100,0.9833951115500958
4,0,10,0.9697772357144943
4,0,21,0.9823543559559087
4,0,42,0.9762666363505144
4,0,100,0.9957433334388217
4,10,21,0.9780923334201452
4,10,42,0.9838229515756285
4,10,100,0.9706564392873556
4,21,42,0.9830953786954358
4,21,100,0.9815017962204496
4,42,100,0.9744055618643201
5,0,10,0.9201406292965949
5,0,21,0.9961146875887085
5,0,42,0.43608798615360883
5,0,100,0.9294761741171156
5,10,21,0.9220853756005178
5,10,42,0.4609312048487288
5,10,100,0.9893028575481934
5,21,42,0.43673628181059754
5,21,100,0.931498874251356
5,42,100,0.4579443669565946
6,0,10,0.4259199372750808
6,0,21,0.5043424127745468
6,0,42,0.5086985175988522
6,0,100,0.5036501057401735
6,10,21,0.4425749282382462
6,10,42,0.44237600009761907
6,10,100,0.4425806288242886
6,21,42,0.9894527156440401
6,21,100,0.9987898583612741
6,42,100,0.9888586811035641
