k,random_seed,inertia_wcss,number_of_iterations,smallest_cluster_count,smallest_cluster_percent,any_small_cluster,any_extremely_small_cluster
2,0,3183757.3292115936,22,32798,28.135159942696852,False,False
2,10,3183763.941894815,14,33032,28.33589253086049,False,False
2,21,3183757.4549521133,15,32580,27.948152659706793,False,False
2,42,3183755.851354992,13,32719,28.06739124840229,False,False
2,100,3183758.464947108,12,32613,27.976461101627308,False,False
3,0,3038200.521401292,18,9434,8.092783062973416,False,False
3,10,3038199.0602570088,15,9426,8.085920410386626,False,False
3,21,3038201.820155399,23,9422,8.082489084093229,False,False
3,42,3038199.2888677996,26,9449,8.10565053657365,False,False
3,100,3038196.910353073,21,9450,8.106508368146997,False,False
4,0,2941533.0710315006,38,8359,7.17061412162336,False,False
4,10,2941524.422717239,24,8365,7.175761111063454,False,False
4,21,2941522.0711162705,29,8354,7.166324963756616,False,False
4,42,2941524.425287307,15,8360,7.1714719531967095,False,False
4,100,2941532.79839193,24,8351,7.163751469036569,False,False
5,0,2858435.8175976425,49,3431,2.943220128160037,True,False
5,10,2858421.0318254516,29,3420,2.933783980853199,True,False
5,21,2858432.7890404197,28,3430,2.9423622965866882,True,False
5,42,2874059.1231376966,93,7842,6.727115198201986,False,False
5,100,2858409.787197187,21,3421,2.9346418124265483,True,False
6,0,2793337.025525136,33,3373,2.8934658969058016,True,False
6,10,2805774.0739722243,38,3333,2.859152633971846,True,False
6,21,2793387.7995140012,80,3330,2.8565791392517994,True,False
6,42,2793378.291307661,30,3329,2.8557213076784502,True,False
6,100,2793388.999339016,77,3330,2.8565791392517994,True,False
