k,cluster,rank,variable,standardized_center_value,absolute_center_value,direction
4,0,1,chloride,0.7245431702362392,0.7245431702362392,above overall average
4,0,2,sodium,0.5223850526514743,0.5223850526514743,above overall average
4,0,3,gcs,-0.45498996826918614,0.45498996826918614,below overall average
4,0,4,oxygen_saturation,0.4486098728114362,0.4486098728114362,above overall average
4,0,5,pao2,0.41007871817876224,0.41007871817876224,above overall average
4,1,1,hemoglobin,0.49416379559590873,0.49416379559590873,above overall average
4,1,2,bun,-0.4535519174845878,0.4535519174845878,below overall average
4,1,3,creatinine,-0.45204226960962496,0.45204226960962496,below overall average
4,1,4,bicarbonate,0.4233448017670021,0.4233448017670021,above overall average
4,1,5,systolic_blood_pressure,0.3648109461117628,0.3648109461117628,above overall average
4,2,1,ast,2.53146697324205,2.53146697324205,above overall average
4,2,2,alt,2.3728161311405316,2.3728161311405316,above overall average
4,2,3,total_bilirubin,1.9231784848361073,1.9231784848361073,above overall average
4,2,4,lactate,1.3364020784834547,1.3364020784834547,above overall average
4,2,5,inr,0.7516393175121366,0.7516393175121366,above overall average
4,3,1,creatinine,1.2819264423394905,1.2819264423394905,above overall average
4,3,2,bun,1.1607959438961772,1.1607959438961772,above overall average
4,3,3,hemoglobin,-0.5590577137854162,0.5590577137854162,below overall average
4,3,4,chloride,-0.3668393809019627,0.3668393809019627,below overall average
4,3,5,sodium,-0.3400305070741867,0.3400305070741867,below overall average
