Estimator,Seed,Train_time_sec,Inertia,Iterations,Homogeneity,Completeness,V_measure,ARI,Silhouette
KMeans: TF-IDF,0,0.13942209999913757,3199.6514632591984,29,0.34866265375407934,0.3997412173362281,0.3724588795840624,0.1955771662939502,0.006676024583486087
KMeans: TF-IDF,1,0.18625109999993583,3199.8831886068333,24,0.36379704674351854,0.40661954436575987,0.38401818209929,0.22286993689853543,0.00694132214435013
KMeans: TF-IDF,2,0.13951099999940197,3199.7634601989757,19,0.35730515356253695,0.40440057900183185,0.379396937173025,0.22354781955847036,0.006514927501213104
KMeans: TF-IDF,3,0.20790280000073835,3199.589159897944,42,0.3352340222249992,0.3953822709542082,0.36283228350047914,0.1881230947082514,0.007435596290978593
KMeans: TF-IDF,4,0.13485940000100527,3200.1002869062013,24,0.3407236702567721,0.3821862153796715,0.36026589928580766,0.18381189503690967,0.007206650313162919
KMeans: TF-IDF + LSA,0,0.02266080000117654,2838.3203728055796,29,0.4011408283090895,0.4534102634850647,0.4256769908897461,0.3223081892431365,0.028446505141660913
KMeans: TF-IDF + LSA,1,0.01303619999998773,2838.32836461633,25,0.4064307563426277,0.4570163915014569,0.430241777097065,0.33256345551478694,0.032170815955323465
KMeans: TF-IDF + LSA,2,0.017261599999983446,2843.4808319284366,52,0.40949124282483235,0.4277217421547016,0.4184080058968813,0.30678138753493867,0.029732947485870014
KMeans: TF-IDF + LSA,3,0.013551199999710661,2860.272488036656,20,0.4089285447412786,0.454226226519723,0.4303887923197649,0.3121529258141045,0.03398674109664964
KMeans: TF-IDF + LSA,4,0.013918099999500555,2860.4824012587287,24,0.4142219595980346,0.4681892656237237,0.4395553218867678,0.3185936240674558,0.034327946121582395
MiniBatch: TF-IDF + LSA,0,0.11370549999992363,2914.4479186680824,8,0.1043200673333972,0.2670636761382898,0.1500340344281921,0.06013346138762936,0.015174244464328093
MiniBatch: TF-IDF + LSA,1,0.1619341000005079,2951.0706295748646,12,0.1317795363705413,0.23745803073900734,0.1694958042498645,0.15104702083527655,0.009999423661802604
MiniBatch: TF-IDF + LSA,2,0.09174130000064906,2892.5131452046826,7,0.2295612241940911,0.23041633139015225,0.22998798296169148,0.190218205834438,0.01974190884173533
MiniBatch: TF-IDF + LSA,3,0.10314010000001872,2870.013365093273,7,0.3656352166633086,0.36777001766831596,0.36669951016908137,0.3262673159295613,0.024693621325224867
MiniBatch: TF-IDF + LSA,4,0.08669460000055551,2879.5986687902982,6,0.3318135327160301,0.3357658077544913,0.33377797089330036,0.29510453003590287,0.016544056708670613
KMeans: Hash + LSA,0,0.032368900001529255,2859.639281023493,72,0.3977815341739677,0.45007740520496475,0.42231666713477833,0.3156006890735569,0.027361193143060434
KMeans: Hash + LSA,1,0.013427300000330433,2881.754825697992,24,0.40157125588820597,0.4521025316603169,0.4253413518773445,0.3012403542248333,0.033533030570112574
KMeans: Hash + LSA,2,0.013622499998746207,2922.750755658632,29,0.24744629756427947,0.3818807392981548,0.30030483203630126,0.1494875969413465,0.029013940290393798
KMeans: Hash + LSA,3,0.01468879999993078,2928.1779388731657,28,0.23298358585452403,0.3853950021863674,0.2904069167862404,0.2654865649759729,0.0209486972004956
KMeans: Hash + LSA,4,0.015041100001326413,2873.355814003619,28,0.39730917921867365,0.4514700413226182,0.4226615996685651,0.39052238732675665,0.03058725523403757
MiniBatch: Hash + LSA,0,0.15983559999949648,2944.0813207598144,12,0.10350360599115085,0.2636456458219866,0.14864949287887924,0.06949440648289384,0.006848751361507085
MiniBatch: Hash + LSA,1,0.06801700000141864,2896.2148535507886,6,0.20834631189490552,0.2245761723386068,0.21615702094597497,0.1410111062798913,0.024423080004180173
MiniBatch: Hash + LSA,2,0.09124479999991308,2893.361699275038,8,0.2837598305338085,0.3026758703659751,0.29291277304551216,0.2450111223370523,0.027770306455638525
MiniBatch: Hash + LSA,3,0.08109309999963443,2877.463473847471,7,0.39014261924078264,0.38740136607646186,0.3887671604761008,0.36877379310195624,0.02705180213335253
MiniBatch: Hash + LSA,4,0.0773866999988968,2879.744123537046,6,0.3967024012971469,0.397636640326642,0.39716897142270513,0.3504572883589584,0.02641425075599485
