Cluster,Rank,Term,Weight
0,1,god,0.34955614255142714
0,2,jesus,0.15446463476568878
0,3,bible,0.09025570212129383
0,4,believe,0.08269829910544448
0,5,christian,0.06655441570680622
0,6,people,0.06279125309777175
0,7,say,0.054909755548297856
0,8,faith,0.054272150323137834
0,9,christians,0.05174045776277016
0,10,does,0.049773532855024845
1,1,space,0.18582767560195315
1,2,launch,0.07582711924172084
1,3,orbit,0.06985631959540067
1,4,shuttle,0.06435646387530594
1,5,nasa,0.062055597030179405
1,6,earth,0.058748870945612715
1,7,moon,0.05441360652247107
1,8,like,0.05029930491945063
1,9,mission,0.04917890422758968
1,10,satellite,0.04294680532615951
2,1,thanks,0.07907848680066333
2,2,graphics,0.07685916280216824
2,3,image,0.05590508662736683
2,4,file,0.047799005543392746
2,5,program,0.04775210564161699
2,6,files,0.04717525815319446
2,7,know,0.046929974385899104
2,8,looking,0.04507998249000488
2,9,software,0.04340522775397363
2,10,help,0.041646757178175946
3,1,don,0.05363642293008267
3,2,just,0.052268372332040625
3,3,think,0.05180916298776716
3,4,people,0.04956676098811059
3,5,like,0.03800315680383666
3,6,know,0.03588503197347992
3,7,say,0.034158916493724614
3,8,time,0.033081259571764964
3,9,does,0.029268933793109943
3,10,good,0.02854843142122775
